OBJECTID,the_geom,Boro,Type,Provider,Park_Wifi,Location,Lat,Long_,X,Y,Location_T,Remarks,City,Zip
1,POINT (-74.19100000051876 40.517299999596645),SI,Limited Free,TimeWarner,Wolfe's Pond Park,Back of the Comfort Station,40.5172999996,-74.1910000005,931144.268929,127800.859934,,,Staten Island,
2,POINT (-74.19030000015196 40.5169999995916),SI,Limited Free,TimeWarner,Wolfe's Pond Park,Southwestern corner of the South Parking Lot,40.5169999996,-74.1903000002,931338.659617,127691.139681,,,Staten Island,
3,POINT (-74.18980000021902 40.518200000311104),SI,Limited Free,TimeWarner,Wolfe's Pond Park,Near the Chester Avenue Entrance to the South Parking Lot,40.5182000003,-74.1898000002,931478.627513,128128.024962,,,Staten Island,
4,POINT (-74.189799999422 40.517100000232666),SI,Limited Free,TimeWarner,Wolfe's Pond Park,Beach Side of the South Parking Lot,40.5171000002,-74.1897999994,931477.759404,127727.270514,,,Staten Island,
5,POINT (-74.1882000001661 40.51920000044687),SI,Limited Free,TimeWarner,Wolfe's Pond Park,North Parking Lot,40.5192000004,-74.1882000002,931924.268354,128491.387424,,,Staten Island,
6,POINT (-74.1392200000559 40.59194999955727),SI,Limited Free,TimeWarner,Blood Root Valley,Front of building,40.5919499996,-74.1392200001,945584.414918,154970.486041,,,Staten Island,
7,POINT (-74.13920000031035 40.59189999967201),SI,Limited Free,TimeWarner,Blood Root Valley,Parking Lot behind building closest to soccer field,40.5918999997,-74.1392000003,945589.940497,154952.261012,,,Staten Island,
8,POINT (-74.13850000040958 40.59189999991934),SI,Limited Free,TimeWarner,Blood Root Valley,First Floor,40.5918999999,-74.1385000004,945784.351526,154951.952941,,,Staten Island,
9,POINT (-74.13811999965026 40.59203000039661),SI,Limited Free,TimeWarner,Blood Root Valley,Second Floor,40.5920300004,-74.1381199997,945889.963847,154999.148713,,,Staten Island,
10,POINT (-74.13809999953877 40.59200000006126),SI,Limited Free,TimeWarner,Blood Root Valley,Parking Lot behind building closest to soccer field,40.5920000001,-74.1380999995,945895.501238,154988.210087,,,Staten Island,
11,POINT (-74.11469999982174 40.62609999955853),SI,Limited Free,TimeWarner,Barrett Park,Near Main Entrance,40.6260999996,-74.1146999998,952410.644048,167402.336505,,,Staten Island,
12,POINT (-74.11440000051014 40.62469999956508),SI,Limited Free,TimeWarner,Barrett Park,Benches at Southeast corner in the park,40.6246999996,-74.1144000005,952493.254119,166892.170859,,,Staten Island,
13,POINT (-74.11419999992395 40.62470000029192),SI,Limited Free,TimeWarner,Barrett Park,"Southeast Corner of the Park, in front of YMCA",40.6247000003,-74.1141999999,952548.773036,166892.09868,,,Staten Island,
14,POINT (-74.10821499985445 40.617979999873995),SI,Limited Free,TimeWarner,Clove Lakes Park,Park Building South Hallway,40.6179799999,-74.1082149999,954207.147344,164441.717754,,,Staten Island,
15,POINT (-74.10820000023864 40.618000000163505),SI,Limited Free,TimeWarner,Clove Lakes Park,Near Lakehouse Restaurant,40.6180000002,-74.1082000002,954211.320564,164448.999236,,,Staten Island,
17,POINT (-74.10716999982802 40.618977000406396),SI,Limited Free,TimeWarner,Clove Lakes Park,Park Building Main Lobby,40.6189770004,-74.1071699998,954497.706474,164804.594325,,,Staten Island,
18,POINT (-74.10709999973253 40.61939999992896),SI,Limited Free,TimeWarner,Clove Lakes Park,Lakehouse Restaurant,40.6193999999,-74.1070999997,954517.328154,164958.680303,,,Staten Island,
19,POINT (-74.10699999961889 40.618999999586286),SI,Limited Free,TimeWarner,Clove Lakes Park,Park Building Main Hallway,40.6189999996,-74.1069999996,954544.911761,164812.915831,,,Staten Island,
20,POINT (-74.10339999941979 40.64549999991016),SI,Limited Free,TimeWarner,Snug Harbor Cultural Center,North Entrance of Randall Garden,40.6454999999,-74.1033999994,955555.731261,174466.369949,,,Staten Island,
21,POINT (-74.10290000005486 40.645400000030676),SI,Limited Free,TimeWarner,Snug Harbor Cultural Center,North Entrance of Randall Garden,40.6454,-74.1029000001,955694.441942,174429.773894,,,Staten Island,
22,POINT (-74.10229999941437 40.645299999626666),SI,Limited Free,TimeWarner,Snug Harbor Cultural Center,Snug Harbor Dock,40.6452999996,-74.1022999994,955860.904207,174393.146014,,,Staten Island,
23,POINT (-74.10169999948405 40.64509999980328),SI,Limited Free,TimeWarner,Snug Harbor Cultural Center,Snug Harbor Dock,40.6450999998,-74.1016999995,956027.324478,174320.086777,,,Staten Island,
24,POINT (-74.10109999960952 40.644900000450264),SI,Limited Free,TimeWarner,Snug Harbor Cultural Center,Neptune Fountain,40.6449000005,-74.1010999996,956193.745733,174247.028852,,,Staten Island,
25,POINT (-74.10029999958434 40.64469999967307),SI,Limited Free,TimeWarner,Snug Harbor Cultural Center,Neptune Fountain,40.6446999997,-74.1002999996,956415.670158,174173.907936,,,Staten Island,
26,POINT (-74.09079999991187 40.568400000006555),SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,Near Greeley Avenue Baseball Diamond,40.5684,-74.0907999999,959023.206938,146372.982566,,,Staten Island,
27,POINT (-74.08950000054247 40.56940000004593),SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,Near Midland Beach Veterans Memorial,40.5694,-74.0895000005,959384.755427,146736.935251,,,Staten Island,
28,POINT (-74.0884999997869 40.57020000001418),SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,On the Boardwalk Near Midland Avenue Baseball Diamond,40.5702,-74.0884999998,959662.873966,147028.11249,,,Staten Island,
29,POINT (-74.08729999956151 40.57130000023331),SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,Near Mapleton Avenue Baseball Diamond,40.5713000002,-74.0872999996,959996.658075,147428.534917,,,Staten Island,
30,POINT (-74.0860000000542 40.572299999944995),SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,Near the Hunter Avenue Parking Lot,40.5722999999,-74.0860000001,960358.176381,147792.502037,,,Staten Island,
31,POINT (-74.08440000041436 40.573300000307526),SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,On the Boardwalk Near Jefferson Avenue,40.5733000003,-74.0844000004,960803.026213,148156.394354,,,Staten Island,
32,POINT (-74.08169999982746 40.57470000000106),SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,On the Beach Near the Soccer Field,40.5747,-74.0816999998,961553.582783,148665.737495,,,Staten Island,
33,POINT (-74.08069999952995 40.575700000239365),SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,On the Beach Near the Soccer Field,40.5757000002,-74.0806999995,961831.72035,149029.804681,,,Staten Island,
34,POINT (-74.08069999952995 40.575700000239365),SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk And Beach,On the Boardwalk Near the Soccer Field,40.5757000002,-74.0806999995,961831.72035,149029.804681,,,Staten Island,
35,POINT (-74.07959999979495 40.576500000439744),BK,Limited Free,Cablevision,Manhattan Beach Park,Park seating area,40.5765000004,-74.0795999998,962137.562586,149320.984873,,,Brooklyn,
36,POINT (-74.07859999951525 40.57709999980001),SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,On the Boardwalk Near Naughton Avenue,40.5770999998,-74.0785999995,962415.553171,149539.328596,,,Staten Island,
37,POINT (-74.07790000004029 40.57769999990479),SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk And Beach,On the Boardwalk near Buel Avenue,40.5776999999,-74.0779,962610.201732,149757.749747,,,Staten Island,
38,POINT (-74.07729999973017 40.62710000039072),SI,Limited Free,TimeWarner,Tappen Park,Behind Edgewater Village Hall,40.6271000004,-74.0772999997,962792.75747,167755.285602,,,Staten Island,
39,POINT (-74.07679999999982 40.5785000001204),SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk And Beach,On the Beach Near the Seaview Avenue Entrance,40.5785000001,-74.0768,962916.025596,150048.939782,,,Staten Island,
40,POINT (-74.07639999959414 40.57970000035412),SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk And Beach,South Parking Lot Near Seaview Avenue,40.5797000004,-74.0763999996,963027.521436,150486.032411,,,Staten Island,
41,POINT (-74.07620000001391 40.62659999958121),SI,Limited Free,TimeWarner,Tappen Park,Fountain,40.6265999996,-74.0762,963097.941242,167572.854537,,,Staten Island,
42,POINT (-74.07579999994975 40.58000000042671),SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk And Beach,North Parking Lot Near Seaview Avenue,40.5800000004,-74.0757999999,963194.284554,150595.18508,,,Staten Island,
43,POINT (-74.07580000000348 40.62710000044751),SI,Limited Free,TimeWarner,Tappen Park,Fountain,40.6271000004,-74.0758,963209.133277,167754.921758,,,Staten Island,
44,POINT (-74.06749999991041 40.5882000000631),SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk And Beach,Near South Fin Grill,40.5882000001,-74.0674999999,965502.159203,153580.763755,,,Staten Island,
45,POINT (-74.01789999976982 40.62500000011471),BK,Limited Free,TimeWarner,McKinley Park,Near the Baseball Field at 77th Street,40.6250000001,-74.0178999998,979281.08965,166981.239906,,,Brooklyn,
46,POINT (-74.01730000029302 40.625300000242234),BK,Limited Free,TimeWarner,McKinley Park,Near the Tennis Courts,40.6253000002,-74.0173000003,979447.666745,167090.504452,,,Brooklyn,
47,POINT (-74.01680000049643 40.6266000000948),BK,Limited Free,TimeWarner,McKinley Park,Near the Comfort Station,40.6266000001,-74.0168000005,979586.553278,167564.10193,,,Brooklyn,
48,POINT (-74.01650000028462 40.62590000009953),BK,Limited Free,TimeWarner,McKinley Park,Near the Basketball Courts at Bay Ridge Parkway,40.6259000001,-74.0165000003,979669.78113,167309.057492,,,Brooklyn,
49,POINT (-74.0158000005852 40.626400000433414),BK,Limited Free,TimeWarner,McKinley Park,Near the 73rd Street Entrance,40.6264000004,-74.0158000006,979864.126214,167491.185081,,,Brooklyn,
51,POINT (-74.00869999956802 40.67720000019498),BK,Limited Free,TimeWarner,Coffey Park,Near the Baseball Field,40.6772000002,-74.0086999996,981836.831914,185998.752724,,,Brooklyn,
52,POINT (-74.00869999956802 40.67720000019498),BK,Limited Free,TimeWarner,Coffey Park,Near the Playground,40.6772000002,-74.0086999996,981836.831914,185998.752724,,,Brooklyn,
53,POINT (-74.00869999956802 40.67720000019498),BK,Limited Free,TimeWarner,Coffey Park,Between the Basketball Court and Comfort Station,40.6772000002,-74.0086999996,981836.831914,185998.752724,,,Brooklyn,
54,POINT (-74.00869999956802 40.67720000019498),BK,Limited Free,TimeWarner,Coffey Park,Between the Basketball Court and Comfort Station,40.6772000002,-74.0086999996,981836.831914,185998.752724,,,Brooklyn,
55,POINT (-73.78691254324045 40.67689173294203),QU,Limited Free,TimeWarner,Baisley Pond Park,Near gazebo,40.6768917329,-73.7869125432,1043355.48808,185958.211795,,,Queens,
56,POINT (-74.00819999948651 40.67329999978824),BK,Limited Free,TimeWarner,Red Hook Recreation Area,Near the Columbia Street and Bay Street Intersection,40.6732999998,-74.0081999995,981975.386755,184577.8576,,,Brooklyn,
57,POINT (-74.00690000010826 40.673000000150665),BK,Limited Free,TimeWarner,Red Hook Recreation Area,Near the Hicks Street and Bay Street Intersection,40.6730000002,-74.0069000001,982335.987412,184468.528094,,,Brooklyn,
59,POINT (-74.0056000000465 40.729699999864145),MN,Limited Free,TimeWarner,Tony Dapolto Recreation Center,Near the Pool,40.7296999999,-74.0056,982697.919103,205126.002856,,,New York,
60,POINT (-74.00549999941796 40.67260000013773),BK,Limited Free,TimeWarner,Red Hook Recreation Area,Near the Bay Street Baseball Diamonds,40.6726000001,-74.0054999994,982724.328827,184322.7692,,,Brooklyn,
61,POINT (-74.0054999997407 40.729599999608425),MN,Limited Free,TimeWarner,Tony Dapolto Recreation Center,Computer Resource Center,40.7295999996,-74.0054999997,982725.63263,205089.567889,,,New York,
62,POINT (-74.00549299983696 40.729566000341705),MN,Limited Free,TimeWarner,Tony Dapolto Recreation Center,Afterschool Room,40.7295660003,-74.0054929998,982727.571931,205077.180775,,,New York,
63,POINT (-74.00549299983696 40.729566000341705),MN,Limited Free,TimeWarner,Tony Dapolto Recreation Center,Basketball Court,40.7295660003,-74.0054929998,982727.571931,205077.180775,,,New York,
64,POINT (-74.00549299983696 40.729566000341705),MN,Limited Free,TimeWarner,Tony Dapolto Recreation Center,Lobby,40.7295660003,-74.0054929998,982727.571931,205077.180775,,,New York,
65,POINT (-74.00489999994976 40.67300000005581),BK,Limited Free,TimeWarner,Red Hook Recreation Area,Around Henry Street,40.6730000001,-74.0048999999,982890.773704,184468.490693,,,Brooklyn,
66,POINT (-74.00410000014637 40.67220000017989),BK,Limited Free,TimeWarner,Red Hook Recreation Area,Near Red Hook Recreation Center,40.6722000002,-74.0041000001,983112.674507,184177.016538,,,Brooklyn,
67,POINT (-74.00369999958477 40.671199999662825),BK,Limited Free,TimeWarner,Red Hook Recreation Area,Between the Soccer Fields on Clinton Street,40.6711999997,-74.0036999996,983223.617855,183812.682949,,,Brooklyn,
69,POINT (-74.00194500014669 40.74805700044861),MN,Limited Free,TimeWarner,Chelsea Recreation Center,Basketball Court,40.7480570004,-74.0019450001,983711.07751,211813.995385,,,New York,
70,POINT (-74.00194500014669 40.74805700044861),MN,Limited Free,TimeWarner,Chelsea Recreation Center,Weight Room,40.7480570004,-74.0019450001,983711.07751,211813.995385,,,New York,
71,POINT (-74.00194500014669 40.74805700044861),MN,Limited Free,TimeWarner,Chelsea Recreation Center,Cardio Room,40.7480570004,-74.0019450001,983711.07751,211813.995385,,,New York,
72,POINT (-74.00194500014669 40.74805700044861),MN,Limited Free,TimeWarner,Chelsea Recreation Center,Basketball Court,40.7480570004,-74.0019450001,983711.07751,211813.995385,,,New York,
73,POINT (-74.00189999959609 40.748100000371494),MN,Limited Free,TimeWarner,Chelsea Recreation Center,Third Floor,40.7481000004,-74.0018999996,983723.546645,211829.661364,,,New York,
75,POINT (-73.99540000017133 40.68059999984622),BK,Limited Free,TimeWarner,Carroll Park,Track and Field,40.6805999998,-73.9954000002,985525.862922,187237.384105,,,Brooklyn,
76,POINT (-73.99059999943874 40.696599999980876),BK,Limited Free,TimeWarner,Cadman Plaza Park,Track and Field - South Entrance of Brooklyn War Memorial,40.6966,-73.9905999994,986856.572859,193066.757945,,,Brooklyn,
77,POINT (-73.99039999985484 40.73599999973612),MN,Partner Site,Partner,Union Square Park,Entire park,40.7359999997,-73.9903999999,986910.458578,207421.386388,,,New York,
78,POINT (-73.98889999981347 40.74150000029479),MN,Limited Free,TimeWarner,Madison Square Park,Statue - South West of Park,40.7415000003,-73.9888999998,987325.901317,209425.259677,,,New York,
79,POINT (-73.98870000050285 40.74239999977662),MN,Limited Free,TimeWarner,Madison Square Park,Dog Run,40.7423999998,-73.9887000005,987381.280471,209753.165189,,,New York,
80,POINT (-73.98830000006245 40.743100000396325),MN,Limited Free,TimeWarner,Madison Square Park,Benches - West North of Park,40.7431000004,-73.9883000001,987492.08832,210008.212251,,,New York,
81,POINT (-73.98789999969809 40.74109999968384),MN,Limited Free,TimeWarner,Madison Square Park,Bathroom,40.7410999997,-73.9878999997,987603.029699,209279.563446,,,New York,
82,POINT (-73.98740000031546 40.74189999976801),MN,Limited Free,TimeWarner,Madison Square Park,Benches - East of Park,40.7418999998,-73.9874000003,987741.542546,209571.048427,,,New York,
83,POINT (-73.98689999983418 40.7425000004071),MN,Limited Free,TimeWarner,Madison Square Park,Playground,40.7425000004,-73.9868999998,987880.063266,209789.668069,,,New York,
84,POINT (-73.98613600042681 40.57266799958096),BK,Limited Free,Cablevision,Steeplechase Park,Stark Ice Rink 1,40.5726679996,-73.9861360004,988101.563479,147915.150086,,,Brooklyn,
85,POINT (-73.98593600054636 40.5726649999364),BK,Limited Free,Cablevision,Steeplechase Park,Stark Ice Rink 2,40.5726649999,-73.9859360005,988157.125704,147914.066099,,,Brooklyn,
86,POINT (-73.98574999992672 40.57267800040087),BK,Limited Free,Cablevision,Steeplechase Park,Stark Ice Rink 3,40.5726780004,-73.9857499999,988208.797845,147918.81084,,,Brooklyn,
87,POINT (-73.98561700040108 40.57280799976454),BK,Limited Free,Cablevision,Steeplechase Park,Stark Ice Rink 6,40.5728079998,-73.9856170004,988245.738716,147966.178855,,,Brooklyn,
88,POINT (-73.98560899989067 40.57268499971138),BK,Limited Free,Cablevision,Steeplechase Park,Stark Ice Rink 4,40.5726849997,-73.9856089999,988247.968698,147921.367265,,,Brooklyn,
89,POINT (-73.98560100047878 40.572694000352826),BK,Limited Free,Cablevision,Steeplechase Park,Stark Ice Rink 5,40.5726940004,-73.9856010005,988250.190479,147924.646786,,,Brooklyn,
90,POINT (-73.98529999991668 40.62329999995198),BK,Limited Free,Cablevision,Gravesend Park,Benches,40.6233,-73.9852999999,988330.717548,166361.719492,,,Brooklyn,
91,POINT (-73.98500000025803 40.78600000006445),MN,Limited Free,TimeWarner,Riverside Park,On the Hudson River Greenway,40.7860000001,-73.9850000003,988403.846995,225638.236765,,,New York,
92,POINT (-73.984799999802 40.57499999991935),BK,Limited Free,Cablevision,Steeplechase Park,Front of MCU Park,40.5749999999,-73.9847999998,988472.570939,148764.817022,,,Brooklyn,
93,POINT (-73.98479999989377 40.753700000186676),MN,Limited Free,TimeWarner,Bryant Park,Southwest Porch,40.7537000002,-73.9847999999,988461.273718,213870.281627,,,New York,
94,POINT (-73.98469999964468 40.62299999982166),BK,Limited Free,Cablevision,Gravesend Park,Benches,40.6229999998,-73.9846999996,988497.296612,166252.450025,,,Brooklyn,
95,POINT (-73.98440000037577 40.624199999832065),BK,Limited Free,Cablevision,Gravesend Park,Playground,40.6241999998,-73.9844000004,988580.498873,166689.6565,,,Brooklyn,
96,POINT (-73.98420000050557 40.75440000030879),MN,Limited Free,TimeWarner,Bryant Park,Witchcraft Express,40.7544000003,-73.9842000005,988627.462034,214125.343781,,,New York,
97,POINT (-73.98399999956165 40.753199999610125),MN,Limited Free,TimeWarner,Bryant Park,Seating area near Bryant Park Grill,40.7531999996,-73.9839999996,988682.953064,213688.154694,,,New York,
98,POINT (-73.98360000014983 40.62379999994013),BK,Limited Free,Cablevision,Gravesend Park,Playground,40.6237999999,-73.9836000001,988802.603088,166543.966503,,,Brooklyn,
99,POINT (-73.98330000006452 40.75379999983928),MN,Partner Site,Partner,Bryant Park,Entire park,40.7537999998,-73.9833000001,988876.852939,213906.790412,,,New York,
100,POINT (-73.98310000030038 40.75429999973936),MN,Limited Free,TimeWarner,Bryant Park,Track and Field - North East of Park,40.7542999997,-73.9831000003,988932.229141,214088.967213,,,New York,
101,POINT (-73.98289999988184 40.62350000043622),BK,Limited Free,Cablevision,Gravesend Park,Playground,40.6235000004,-73.9828999999,988996.942922,166434.705894,,,Brooklyn,
102,POINT (-73.98211200024944 40.5751149997122),BK,Limited Free,Cablevision,Steeplechase Park,3001-3025 W 15th St,40.5751149997,-73.9821120002,989219.290574,148806.855323,,,Brooklyn,
103,POINT (-73.98194099957998 40.57405600033764),BK,Limited Free,Cablevision,Steeplechase Park,3027-3087 W 15th St 2,40.5740560003,-73.9819409996,989266.874141,148421.0454,,,Brooklyn,
104,POINT (-73.98184500018228 40.573602000185076),BK,Limited Free,Cablevision,Steeplechase Park,3027-3087 W 15th St,40.5736020002,-73.9818450002,989293.577499,148255.647436,,,Brooklyn,
