"","zip","Name","Location","YearRound","Handicap","Borough","Lat","Lon","population"
"1","10001","Chelsea Park","West 27 Street & 9 Avenue","Yes","No","Manhattan",40.7501252,-74.0012230555722,21102
"2","10001","Chelsea Recreation Center","South of West 25 Street, 9 to 10 avenues","Yes","Yes","Manhattan",40.74838,-74.002,21102
"3","10002","Hamilton Fish Park (Recreation Center)","Between East Houston & Stanton streets","Yes","Yes","Manhattan",40.7197972,-73.9808361521585,81410
"4","10002","Sara D. Roosevelt Park","East Houston Street to Canal Street","Yes","Yes","Manhattan",40.7223972,-73.9916358,81410
"5","10002","Coleman Square Playground","Between Cherry & Monroe streets","Yes","No","Manhattan",40.7111111,-73.993611,81410
"6","10002","East River Park (10th Street)","Northern extreme of park","Yes","No","Manhattan",40.718547,-73.9741378403236,81410
"7","10002","East River Park (Track Building)","East 6 Street & FDR Drive","Yes","No","Manhattan",40.718547,-73.9741378403236,81410
"8","10002","Little Flower Playground","Madison Street opposite Jefferson Street","No","Yes","Manhattan",40.7122222,-73.9883332,81410
"9","10009","Dry Dock Playground","East 10 Street & Szold Place, Avenue D","No","No","Manhattan",40.7255556,-73.9755555,61347
"10","10009","McKinley Playground","Avenue A, East 3-East 4 streets","No","No","Manhattan",40.7242535,-73.9857810380966,61347
"11","10010","Augustus St. Gaudens","East 19 to East 20 streets, 2 Avenue","Yes","No","Manhattan",40.7356292,-73.9823601,31834
"12","10010","Asser Levy","Asser Levy Place & East 24-25 streets","Yes","No","Manhattan",40.7365603,-73.9757719,31834
"13","10012","Vesuvio Playground","Spring & Thompson streets","Yes","Yes","Manhattan",40.72522185,-74.002597804206,24090
"14","10013","Rolf Henry Playground","New York & Clarkson avenues","Yes","No","Brooklyn",40.7127837,-74.0059413,27700
"15","10013","Lincoln Terrace Park (Arthur S. Somers Playground)","East New York, Rochester avenues, Eastern Parkway,Buffalo Avenue","Yes","No","Brooklyn",40.7127837,-74.0059413,27700
"16","10016","St. Vartan Park","East 35-East 36 streets, between 1 & 2 avenues","Yes","Yes","Manhattan",40.74514395,-73.9736882551076,54183
"17","10017","Robert Moses Playground","1 Avenue, East 41 to East 42 streets","Yes","No","Manhattan",40.7483333,-73.9697221,16575
"18","10018","Whitestone Playground (PS 193)","12 Avenue & 153 Street","Yes","No","Queens",40.7607442,-74.002077,5229
"19","10021","St. Catherine's Park","East 67-68 streets, 1 Avenue","Yes","No","Manhattan",40.764625,-73.9583262,43631
"20","10021","Carl Schurz Park","East 84 Street & East End Avenue","Yes","Yes","Manhattan",40.7753294,-73.943459342501,43631
"21","10023","Central Park (West 61st)","West Drive, Central Park West, & 65th Street Transverse","No","No","Manhattan",40.7692746,-73.9810291,60998
"22","10024","Sol Bloom Playground","Columbus Avenue, West 91 to West 92 streets, Central Park West","Yes","No","Manhattan",40.7828647,-73.9653551,59283
"23","10024","Central Park Delacorte Comfort Station","Mid-Park at 80th Street","Yes","Yes","Manhattan",40.7830603,-73.9712488,59283
"24","10024","John Jay Park & Pool","East 76-East 78 streets & Cherokee Place","Yes","No","Manhattan",40.7830603,-73.9712488,59283
"25","10024","Highbridge Park-Wallenberg Playground","W 189 St & Amsterdam Ave","No","Yes","Manhattan",40.7830603,-73.9712488,59283
"26","10024","Central Park (Tavern on The Green)","Central Park","No","No","Manhattan",40.7828647,-73.9653551,59283
"27","10024","Frederick Johnson Park","7 Avenue, West 150-151 streets","Yes","No","Manhattan",40.7830603,-73.9712488,59283
"28","10024","General Douglas MacArthur Park","East 49 Street & East River Drive","Yes","No","Manhattan",40.7830603,-73.9712488,59283
"29","10024","Playground Ninety Six (XCVI)","2 Avenue, East 96 to East 97 streets","Yes","No","Manhattan",40.7830603,-73.9712488,59283
"30","10024","Msgnr. Kett","West 204 Street & Nagle Avenue","Yes","No","Manhattan",40.7830603,-73.9712488,59283
"31","10024","Central Park (Ramble)","Central Park","No","No","Manhattan",40.7828647,-73.9653551,59283
"32","10025","Riverside Park (Neufeld Playground)","West 76 Street & Riverside Drive","Yes","No","Manhattan",40.80663435,-73.9687489626192,94600
"33","10025","Riverside Park (Hippo Playground)","West 91 Street & Riverside Drive","Yes","No","Manhattan",40.80663435,-73.9687489626192,94600
"34","10025","Central Park (Lasker)","Central Park at 107th Street","Yes","Yes","Manhattan",40.7987267,-73.9595458,94600
"35","10025","Riverside Park (River Run Playground)","West 83 Street & Riverside Drive","Yes","No","Manhattan",40.80663435,-73.9687489626192,94600
"36","10025","Riverside Park (Riverbank Playground)","West 142 Street & Riverside Drive","Yes","No","Manhattan",40.80663435,-73.9687489626192,94600
"37","10025","Riverside Park (Dinosaur Playground)","West 97 Street & Riverside Drive","Yes","No","Manhattan",40.80663435,-73.9687489626192,94600
"38","10025","Bloomingdale Playground","Amsterdam Avenue, West 104 & West 105 streets","Yes","No","Manhattan",40.7987854,-73.9658493,94600
"39","10025","Happy Warrior Playground","West 98 Street & Amsterdam Avenue","Yes","No","Manhattan",40.7952778,-73.968611,94600
"40","10025","Riverside Park (Ten Mile River Playground)","West 148 Street & Hudson River","No","No","Manhattan",40.80663435,-73.9687489626192,94600
"41","10025","Riverside Park (Claremont)","West 124 Street & Riverside Drive","Yes","No","Manhattan",40.80663435,-73.9687489626192,94600
"42","10026","Central Park (The Great Hill)","West Side from 103rd to 107th streets","No","No","Manhattan",40.79686915,-73.9589231124157,34003
"43","10027","Morningside Park","West 123 Street & Morningside Avenue","Yes","Yes","Manhattan",40.80593305,-73.9587637898096,59707
"44","10027","Marcus Garvey Park (Pool)","Madison Avenue, East 120 to East 124 streets","No","No","Manhattan",40.80521955,-73.9433496,59707
"45","10027","Smokey Oval","125 Street & Atlantic Avenue","Yes","No","Queens",40.8107835,-73.9525929,59707
"46","10027","Morningside Playground","West 117 Street & Morningside Avenue","Yes","No","Manhattan",40.8105122,-73.9553236,59707
"47","10027","Sheltering Arms Park","West 129 Street, Amsterdam Avenue","Yes","No","Manhattan",40.815,-73.9555555,59707
"48","10027","Marcus Garvey Park (Pelham Fritz Recreation Center)","18 Mount Morris Park West","Yes","No","Manhattan",40.8050093,-73.9448633,59707
"49","10027","Sheltering Arms Park (Pool)","West 129 Street, Amsterdam Avenue","No","No","Manhattan",40.815,-73.9555555,59707
"50","10028","Central Park (The Metropolitan Museum of Art)","Fifth Avenue at 82nd Street","Yes","No","Manhattan",40.7789422,-73.9623032,45141
"51","10029","Poor Richard's Playground","East 109 Street between 2 & 3 avenues","Yes","No","Manhattan",40.7924667,-73.9428112334836,76003
"52","10029","Bendheim Playground","100th Street and Fifth Ave","No","Yes","Manhattan",40.7902744,-73.9544034800503,76003
"53","10029","Playground 70","West End Avenue & West 70 Street","Yes","Yes","Manhattan",40.78911455,-73.9439835,76003
"54","10029","Cherry Tree (Washington) Playground","99 to 100 streets, 3 Avenue","Yes","No","Manhattan",40.7872666,-73.9472102,76003
"55","10030","St. Nicholas Park","West 129 Street & St. Nicholas Terrace","Yes","No","Manhattan",40.81719125,-73.9490350316411,26999
"56","10030","St Nicholas Park South","West 129 & 7 Avenue","Yes","No","Manhattan",40.8179177,-73.9495365,26999
"57","10030","Frederick E. Samuel Playground","Lenox Avenue, West 139 to West 140 streets","Yes","No","Manhattan",40.817202,-73.9391049,26999
"58","10030","St. Nicholas Park (Arlington Edinboro Playground)","West 140 Street & St. Nicholas Avenue","Yes","No","Manhattan",40.81719125,-73.9490350316411,26999
"59","10030","Renaissance Playground","West 144 Street, between 7 & 8 avenues","Yes","No","Manhattan",40.82131365,-73.9417237645174,26999
"60","10030","St. Nicholas Park","West 133 Street & St. Nicholas Avenue","Yes","No","Manhattan",40.81719125,-73.9490350316411,26999
"61","10031","Jacob Schiff Playground (PS 192)","Amsterdam Avenue, West 136 Street","Yes","No","Manhattan",40.8205093,-73.95199975,56438
"62","10031","Carmansville Playground","Amsterdam Avenue, West 151 to West 152 streets","Yes","No","Manhattan",40.82918625,-73.9442601664538,56438
"63","10031","Alexander Hamilton Playground","Hamilton Place, West 140 to West 141 streets","Yes","No","Manhattan",40.82303475,-73.9512896628916,56438
"64","10032","Audubon Playground","West 170 Street & Audubon Avenue","Yes","No","Manhattan",40.8415543,-73.9377004,57331
"65","10032","J. Hood Wright Park","Ft. Washington & Haven avenues, West 173 Street","Yes","Yes","Manhattan",40.84646605,-73.9413782784613,57331
"66","10032","Orville & Wilbur Playground","West 156 Street & St. Nicholas Avenue","Yes","No","Manhattan",40.83168345,-73.9417847946974,57331
"67","10033","Highbridge Park (Recreation Center)","West 155 & Dyckman streets, Edgecombe & Amsterdam avenues","Yes","No","Manhattan",40.84606425,-73.9297058291312,53926
"68","10033","Highbridge Park (Quisqueya Playground)","West 180 Street & Amsterdam Avenue","Yes","No","Manhattan",40.84606425,-73.9297058291312,53926
"69","10033","Bennett Park","West 185 Street, Ft Washington Avenue","Yes","No","Manhattan",40.8527302,-73.9385173,53926
"70","10033","Highbridge Park (Wallenberg Playground)","West 188 Street & Amsterdam Avenue","Yes","Yes","Manhattan",40.84606425,-73.9297058291312,53926
"71","10034","Fort Washington Park (Lily Brown Playground)","West 162 Street, east of Riverside Drive","Yes","Yes","Manhattan",40.8532115,-73.9417566769514,38908
"72","10034","Inwood Hill Park (Payson Playground)","Payson & Dyckman streets","Yes","No","Manhattan",40.87227365,-73.9254269915026,38908
"73","10034","Inwood Hill Park (Tennis Courts)","Tennis courts & ballfields along Seaman Avenue from 207th Street to 214th Street","Yes","No","Manhattan",40.87227365,-73.9254269915026,38908
"74","10035","Wagner Pool","East 124 Street between 1 & 2 Avenues","No","No","Manhattan",40.80176505,-73.9328190449535,33969
"75","10035","Martin Luther King Houses","Lenox Avenue, West 113 to West 114 streets","Yes","No","Manhattan",40.8032357,-73.93471,33969
"76","10036","McCaffrey Playground","West 43 Street, 8 & 9 avenues","Yes","No","Manhattan",40.75896445,-73.9912426834348,24711
"77","10036","May Matthews Playground","West 45 Street between 9 & 10 avenues","Yes","No","Manhattan",40.761339,-73.9927764174242,24711
"78","10037","Hansborough Recreation Center","35 West 134 Street","Yes","No","Manhattan",40.81283485,-73.9393316565414,17416
"79","10037","Abe Lincoln","East 135 Street, between Madison & 5 avenues","Yes","No","Manhattan",40.81218975,-73.937156,17416
"80","10037","Col. Charles Young Playground","West 144 Street & Lenox Avenue","Yes","No","Manhattan",40.8195904,-73.9361885,17416
"81","10038","Alfred E. Smith Park","Catherine Slip, Madison & South streets","Yes","No","Manhattan",40.71097855,-73.9972036445177,20300
"82","10039","Jackie Robinson Park","West 149 Street & Bradhurst Avenue","Yes","No","Manhattan",40.8259965,-73.9415333334211,24527
"83","10039","Jackie Robinson Park (Playground One Fifty Two CLII)","West 152 Street & Bradhurst Avenue","Yes","No","Manhattan",40.8259965,-73.9415333334211,24527
"84","10039","Holcombe Rucker","West 155 Street, 8 Avenue to Harlem River Drive","Yes","No","Manhattan",40.8280552,-73.9346918,24527
"85","10039","Macombs Dam Park","East 161th Street & Ruppert Place","Yes","No","Bronx",40.82732775,-73.9285335654178,24527
"86","10040","Tecumseh Playground","West 77 Street & Amsterdam Avenue","Yes","No","Manhattan",40.7818185,-73.978571461579,41905
"87","10040","Frederick Douglass Playground","West 100-101 Street Amsterdam Avenue","Yes","No","Manhattan",40.7969444,-73.9677777,41905
"88","10040","Fort Tryon Park (Café)","One Margaret Corbin Drive","No","No","Manhattan",40.8608206,-73.9327696,41905
"89","10115","Riverside Park (Tennis Courts)","Riverside Drive & West 96th Street","Yes","No","Manhattan",40.8158821,-73.9623705,0
"90","10115","Fort Tryon Park (The Cloisters)","Riverside Drive to Broadway, West 192 to Dyckman streets","Yes","No","Manhattan",40.8158821,-73.9623705,0
"91","10115","Riverside Park (Boat Basin)","Riverside Drive to Hudson River, West 59th Street to Clair Place","No","No","Manhattan",40.8158821,-73.9623705,0
"92","10128","Stanley Isaacs","East 96-97 streets & FDR Drive","Yes","Yes","Manhattan",40.78171325,-73.9449887209983,60453
"93","10153","Broadway Malls","Broadway, Columbus Circle to West 110 Street","Yes","No","Manhattan",40.7723522,-73.9715901,0
"94","10280","Battery Park Comfort Station","Battery Place, State & Whitehall streets","Yes","No","Manhattan",40.7035905,-74.0144071,7853
"95","10280","Battery Park (Battery Gardens)","Battery Place, State & Whitehall streets","Yes","No","Manhattan",40.7035905,-74.0144071,7853
"96","10301","Lyons Pool","Pier 6, Victory Boulevard","No","Yes","Staten Island",40.63694485,-74.0734545132426,39706
"97","10301","Terrace Playground","Howard Avenue & Martha Street","Yes","Yes","Staten Island",40.61373045,-74.0984773231024,39706
"98","10301","Mahoney Playground","Beechwood & Cleveland avenues","Yes","No","Staten Island",40.6433333,-74.0858332,39706
"99","10302","Levy Playground","Jewett & Castleton avenues","Yes","No","Staten Island",40.63391285,-74.1289248774397,19088
"100","10303","Markham Playground","Willowbrook Parkway, Forest Avenue & Houston Street","Yes","Yes","Staten Island",40.6236111,-74.1458332,26337
"101","10305","Stapleton Playground","Tompkins Avenue & Broad Street","Yes","Yes","Staten Island",40.6120263,-74.0708689,41749
"102","10305","Potomac Playground","Tompkins Avenue & Halsey Street","Yes","No","Brooklyn",40.6120263,-74.0708689,41749
"103","10306","High Rock Park","Richmond Parkway & Moravian Cemetery at Rockland Avenue","Yes","No","Staten Island",40.58176295,-74.1225547818624,55909
"104","10306","High Rock Park (Education Building)","Richmond Parkway & Moravian Cemetery at Rockland Avenue","Yes","No","Staten Island",40.58176295,-74.1225547818624,55909
"105","10306","High Rock Park (Visitor Center)","Richmond Parkway & Moravian Cemetery at Rockland Avenue","Yes","No","Staten Island",40.58176295,-74.1225547818624,55909
"106","10306","Dugan Playground","Mill Road & Tysens Lane","Yes","No","Staten Island",40.5615308,-74.1108603,55909
"107","10306","Midland Playground","Lincoln & Mason avenues","Yes","No","Staten Island",40.5747222,-74.098611,55909
"108","10306","High Rock Park (McArthur Park)","Richmond Parkway & Moravian Cemetery at Rockland Avenue","Yes","Yes","Staten Island",40.58176295,-74.1225547818624,55909
"109","10308","Prescott Playground","Hylan Boulevard & Huguenot Avenue","Yes","No","Staten Island",40.5464584,-74.1414633,27357
"110","10309","Bloomingdale Park","Richmond Pkwy, Bloomingdale Rd., Lenevar Ave","No","Yes","Staten Island",40.532981,-74.2147164998331,32519
"111","10310","Corporal Thompson Park","Broadway, Henderson Avenue","No","No","Staten Island",40.6379157,-74.1184904,24962
"112","10312","Double Nickel Playground","Osborne Street and Preston Avenue","Yes","Yes","Staten Island",40.5374856,-74.1622243,59304
"113","10314","Blood Root Valley (Park House)","Rockland, Manor and Brielle avenues, Forest Hill Road","Yes","Yes","Staten Island",40.5877007,-74.1335386,85510
"114","10314","Corporal Thompson Park/West Brighton Pool","Broadway, Henderson Avenue","No","Yes","Staten Island",40.5795317,-74.1502007,85510
"115","10314","Blood Root Valley (Greenbelt Nature Center)","Rockland, Manor and Brielle avenues, Forest Hill Road","Yes","Yes","Staten Island",40.5877007,-74.1335386,85510
"116","10314","Willowbrook Park","Richmond Avenue To Victory Boulevard","Yes","No","Staten Island",40.6023263,-74.1584766,85510
"117","10314","Todt Hill Playground","Schmidts Lane & Manor Road","Yes","Yes","Staten Island",40.6094076,-74.1165739,85510
"118","10451","174th Street Playground","East 174 Street, Stratford Avenue, Bronx River Avenue","Yes","No","Bronx",40.8276779,-73.9260176,45713
"119","10453","Claremont Park Playground","E 170 Street & Teller Avenue","Yes","No","Bronx",40.856678,-73.9012832,78309
"120","10454","Millbrook Playground","East 135 Street, Cypress Avenue","Yes","Yes","Bronx",40.8043574,-73.9166011,37337
"121","10454","Willis Playground","East 139 Street, East 140 Street, Willis & Alexander avenues","Yes","No","Bronx",40.8108333,-73.923611,37337
"122","10455","Capt. Rivera Playground","East 156 Street, Forest Avenue","Yes","Yes","Bronx",40.8178344,-73.906772,39665
"123","10455","Clark Playground","3 Avenue, East 144 Street, East 146 Street","Yes","Yes","Bronx",40.8138889,-73.9213888,39665
"124","10456","Drew Playground","Fulton Avenue, East 169 Street","Yes","No","Bronx",40.8333333,-73.9033332,86547
"125","10456","Cauldwell Playground","Caldwell Avenue, East 163 Street, East 161 Street","Yes","No","Bronx",40.8227778,-73.9074999,86547
"126","10456","St. Mary's Park (Recreation Center)","450 St. Ann's Avenue","Yes","Yes","Bronx",40.81157845,-73.9124209971314,86547
"127","10456","St. Mary's Park West","St. Anns Avenue & East 147 Street","Yes","No","Bronx",40.8123102,-73.9140718,86547
"128","10456","Gouverneur Playground","3rd Avenue, St. Paul's Place, East 170 Street","Yes","No","Bronx",40.8352778,-73.9038888,86547
"129","10457","Claremont Park","Mount Eden Parkway & Morris Avenue","Yes","No","Bronx",40.8427457,-73.908643,70496
"130","10457","Belmont Playground","Crotona Avenue, East 181 Street","Yes","Yes","Bronx",40.8502778,-73.8877777,70496
"131","10457","Rose Hill Park","Webster Avenue, Harlem River, East Fordham Road","Yes","No","Bronx",40.8444372,-73.9026954,70496
"132","10457","Richman (Echo) Park Playground","East 178 Street & Ryer Avenue, Upper Level","Yes","Yes","Bronx",40.8457333,-73.8893856,70496
"133","10457","Crotona Park (Pool House)","173rd Street and Fulton Avenue","Yes","Yes","Bronx",40.8406948,-73.8982441,70496
"134","10457","Tremont Park Playground","Corner of East 175 Street & Arthur Avenue","Yes","No","Bronx",40.8428103,-73.891706,70496
"135","10457","Crotona Park (Martin Van Buren Playground)","Crotona East & Claremont Parkway","Yes","No","Bronx",40.8389019,-73.8938644115504,70496
"136","10458","Bronx Park (Olinville Playground)","East 219 Street & Bronx River Parkway","Yes","No","Bronx",40.85862575,-73.8759260447257,79492
"137","10458","Bronx Park (French Charley's Playground)","East 204 Street & W/S Bronx Park","Yes","No","Bronx",40.8740125,-73.8833881,79492
"138","10459","Horseshoe Playground","Hall Place, Rogers Place, East 165 Street","Yes","No","Bronx",40.8240128,-73.8976774,47308
"139","10460","Vidalia Park","Vyse & Daly avenues between West 179-180 streets","No","Yes","Bronx",40.8437147,-73.8812806847596,57311
"140","10460","Owen Dolen Recreation Center","Westchester Avenue, Lane Avenue, East Tremont Avenue","Yes","No","Bronx",40.8370495,-73.8654295,57311
"141","10460","People's Park Playground","Brook Avenue, East 141 Street","Yes","No","Bronx",40.8370495,-73.8654295,57311
"142","10460","Bronx Park (Waring Playground)","Bronx Park East between Waring Avenure and Thwaites Place","Yes","No","Bronx",40.8370495,-73.8654295,57311
"143","10460","Seton Park Playground","West 235 Street & Douglas Avenue","No","No","Bronx",40.8370495,-73.8654295,57311
"144","10460","Bronx Park (Brady Playground)","Bronx Park East between Bronxdale Avenue and Unionport Road","Yes","No","Bronx",40.8370495,-73.8654295,57311
"145","10460","Mapes Pool","East 180 Street, Mapes & Prospect avenues","Yes","No","Bronx",40.8370495,-73.8654295,57311
"146","10460","Crotona Park Environmental Center","Crotona Park North, Crotona Park South, Crotona Park East, Fulton Avenue","Yes","No","Bronx",40.8370495,-73.8654295,57311
"147","10460","Ciccarone Park Playground","Arthur Avenue, East 188 Street","Yes","No","Bronx",40.8370495,-73.8654295,57311
"148","10461","Loreto Park Playground","Morris Park Avenue, Haight Avenue, Tomlinson Avenue, Van Nest Avenue","Yes","No","Bronx",40.8522006,-73.8507279,50502
"149","10462","Bronx Park (Ben Abrams Playground)","Lydig Avenue & Bronx Park East","Yes","No","Bronx",40.8543818,-73.8610494,75784
"150","10463","Bailey Playground","Bailey Avenue, Weast 233-West 238 streets","Yes","No","Bronx",40.8811111,-73.9008332,67970
"151","10463","Marble Hill Playground","Marble Hill Avenue, West 230 Street, West 228 Street","No","No","Bronx",40.8778917,-73.9079697,67970
"152","10463","Van Cortlandt Park (Classic Playground)","Van Cortlandt Park South and Gouverneur Avenue","Yes","No","Bronx",40.8849265,-73.8907719,67970
"153","10466","227 Street Playground","Bronx Boulevard between East 226 and East 228 streets","Yes","Yes","Bronx",40.8897285,-73.863865,67813
"154","10466","Seton Park","West 135 Street, Independence Avenue, West 232 Street","Yes","No","Bronx",40.8868779,-73.8377239873487,67813
"155","10466","Rienzi Playground","East 226 Street, Barnes Avenue, East 225 Street","Yes","No","Bronx",40.8875,-73.858611,67813
"156","10467","Agnes Haywood Playground","East 215 Street, Barnes Avenue, East 216 Street","Yes","No","Bronx",40.8802778,-73.8616666,97060
"157","10467","Bronx River Parkway (Parque de los Ninos)","Bronx River Parkway, Bronx Park, Westchester/NYC City Line.","Yes","Yes","Bronx",40.864696,-73.871816,97060
"158","10467","Magenta Playground","Olinville Avenue, Rosewood Street","Yes","Yes","Bronx",40.8803912,-73.8668996,97060
"159","10468","Fort Independence Playground","Stevenson Place, West 238 Street, Sedgwick Avenue","Yes","No","Bronx",40.8816434,-73.8961157,76103
"160","10469","Pelham Bay Park (Bruckner CS)","Bruckner Boulevard, Eastchester Bay, Hutchinson","Yes","No","Bronx",40.8524136,-73.8263227,66631
"161","10469","Pelham South Park Headquarters","Bruckner Boulevard, Eastchester Bay, Hutchinson","Yes","No","Bronx",40.8524136,-73.8263227,66631
"162","10469","Orchard Beach Pavilion","Bruckner Boulevard, Eastchester Bay, Hutchinson","No","No","Bronx",40.8524136,-73.8263227,66631
"163","10469","Pelham Bay Park (Hunter Island Picnic Area)","Bruckner Boulevard, Eastchester Bay, Hutchinson","Yes","Yes","Bronx",40.8524136,-73.8263227,66631
"164","10469","Stars & Stripes Playground","Baychester Avenue, Crawford Avenue","Yes","No","Bronx",40.8693862,-73.8330844,66631
"165","10469","Orchard Beach Pavilion","Bruckner Boulevard, Eastchester Bay, Hutchinson","Yes","Yes","Bronx",40.8524136,-73.8263227,66631
"166","10469","Mazzei Playground","Mace Avenue, Williamsbridge Road","Yes","No","Bronx",40.8629385,-73.8520399,66631
"167","10469","Cavanaugh Triangle (Angelo Campanero Playground)","East Gun Hill Road, Eastchest Road, & O'Neil Place","Yes","Yes","Bronx",40.868492,-73.842659,66631
"168","10469","Pelham Bay Park (Bruckner Boulevard and Wilkinson Avenue)","Bruckner Boulevard, Eastchester Bay, Hutchinson","Yes","No","Bronx",40.8524136,-73.8263227,66631
"169","10471","Van Cortlandt Park (UC Pool Men's Locker)","West 242nd Street & Broadway","Yes","No","Bronx",40.8895802,-73.8999318,22922
"170","10471","Van Cortlandt Park (Stables Area)","Broadway and West 254th Street","Yes","No","Bronx",40.9010541,-73.8969283,22922
"171","10471","Van Cortlandt Park (Nature Center)","West 239 Street & Van Cortlandt East","Yes","No","Bronx",40.8977465,-73.8828205,22922
"172","10471","Van Cortlandt Park (Pool Building)","West 242nd Street & Broadway","Yes","No","Bronx",40.8895802,-73.8999318,22922
"173","10471","Van Cortlandt Park (Woodlawn Playground)","West 239 Street & Van Cortlandt East","Yes","No","Bronx",40.8977465,-73.8828205,22922
"174","10472","Watson Gleason Playground","Gleason Avenue, Rosedale Avenue, Watson Avenue, Nobel Avenue","Yes","No","Bronx",40.8283333,-73.8691666,66358
"175","10473","Pelham Bay Park (Playground for All Children)","Bruckner Expressway & Buhre Avenue","Yes","Yes","Bronx",40.8252582,-73.8663659,58519
"176","10474","Julio Carballo Field","Lafayette Avenue, Manda Street","Yes","No","Bronx",40.8158333,-73.8891666,12281
"177","10474","Hunts Point Playground","Spofford Avenue, Hunts Point Avenue, Faile Street","Yes","No","Bronx",40.8144125,-73.8868227,12281
"178","10510","Dyckman House Museum","Broadway & West 204 Street","Yes","No","Manhattan",41.1115472,-73.8583806,9988
"179","10510","Clement Clark Moore Park","Broadway & 83 Street","Yes","No","Queens",41.1115472,-73.8583806,9988
"180","10510","Frank D. O'Connor Playground","Broadway & 78 Street","Yes","No","Queens",41.1115472,-73.8583806,9988
"181","10510","Fort Tryon Park (Anne Loftus Playground)","Broadway & Dyckman Street","Yes","Yes","Manhattan",41.1115472,-73.8583806,9988
"182","10532","Jackie Robinson Park (Recreation Center)","Bradhurst & Edgecombe avenues,West 145 to West 155 streets","Yes","Yes","Manhattan",41.0897353,-73.801493,4931
"183","10580","Holy Cow Playground (PS 179)","Peck Avenue & Harding Boulevard","No","No","Queens",40.9852219,-73.6771619,17208
"184","10580","Kissena Corridor East (Underhill Playground)","Peck Avenue & 188 Street","Yes","No","Queens",40.9852219,-73.6771619,17208
"185","10598","Underhill Playground","Underhill Avenue & Prospect Place","Yes","No","Brooklyn",41.2601064,-73.7968702,28647
"186","10707","Bronx Park (Rosewood Playground)","Bronx River Parkway & Rosewood Street","Yes","No","Bronx",40.9476645,-73.8345485,10097
"187","11001","Haggerty Park","202 Street & Jamaica Avenue","No","Yes","Queens",40.71307635,-73.7576773096989,26883
"188","11004","Castlewood Playground (PS 186)","Little Neck Parkway & 72 Avenue","Yes","No","Queens",40.7536177,-73.7227354,14016
"189","11010","Alley Park (PS 213)","67 Avenue & 230 Street","Yes","No","Queens",40.6524927,-73.7914213158161,23821
"190","11030","Playground 90/PS 148 Playground","Northern Boulevard & 90 Street","Yes","No","Queens",40.7887109,-73.7056104,17962
"191","11040","Gunn Park (PS 18)","Hillside Avenue, east of 235 Court","No","No","Queens",40.7325,-73.731111,40782
"192","11101","Dutch Kills Playground (PS 112)","Crescent-28 streets, 36 Avenue, 37 Avenue","Yes","No","Queens",40.7570039,-73.9332799125892,25484
"193","11101","Andrews Playground","49 Avenue, Vernon Boulevard, 5 Street","No","No","Queens",40.7434498,-73.9548102,25484
